label,text
finance,Income Statement The aggregate cost of goods produced and sold and services rendered during the reporting period 
finance,Income Statement A component of OpEx representing the aggregate costs incurred in a planned search or critical investigation aimed at discovery of new knowledge with the hope that such knowledge will be useful in developing a new product or service 
finance,Income Statement Amount of the cost of borrowed funds accounted for as interest expense 
finance,Income Statement Amount of current income tax expense benefit and deferred income tax expense benefit pertaining to continuing operations 
finance,Income Statement Income statement item reflecting dividend payments to preferred stockholders Subtracted from Net Income to Parent NetInc to obtain Net Income to Common Stockholders NetIncCmn 
finance,Income Statement The amount of net income loss for the period due to common shareholders Typically differs from NetInc to the parent entity due to the deduction of PrefDivIS 
finance,Income Statement Earnings per share as calculated and reported by the company Approximates to the amount of NetIncCmn for the period per each SharesWA after adjusting for ShareFactor 
finance,Income Statement Earnings per diluted share as calculated and reported by the company Approximates to the amount of NetIncCmn for the period per each SharesWADil after adjusting for ShareFactor 
finance,Cash Flow Statement A component of NCFF representing the net cash inflow outflow from issuance repayment of debt securities 
finance,Cash Flow Statement A component of NCFF representing dividends and dividend equivalents paid on common stock and restricted stock units 
finance,Cash Flow Statement A component of Net Cash Flow NCF representing the amount of increase decrease from the effect of exchange rate changes on cash and cash equivalent balances held in foreign currencies 
finance,Balance Sheet A component of Assets representing the amount of currency on hand as well as demand deposits with banks or financial institutions 
finance,Balance Sheet A component of Assets representing tax assets and receivables 
finance,Balance Sheet A component of Assets representing trade and non trade receivables 
finance,Balance Sheet A component of Liabilities representing trade and non trade payables 
finance,Balance Sheet A component of Liabilities representing outstanding tax liabilities 
finance,Balance Sheet The non current portion of Debt reported if the company operates a classified balance sheet that segments current and non current liabilities 
finance,Metrics Earnings Before Tax is calculated by adding TaxExp back to NetInc 
finance,Income Statement Earnings Before Interest and Tax is calculated by adding TaxExp and IntExp back to NetInc 
finance,Metrics The exchange rate used for the conversion of foreign currency to USD for non US companies that do not report in USD 
finance,Income Statement Aggregate dividends declared during the period for each split adjusted share of common stock outstanding Includes spinoffs where identified 
finance,Metrics The value of tangibles assets calculated as the difference between Assets and Intangibles 
finance,Metrics Return on equity measures a corporation s profitability by calculating the amount of NetIncCmn returned as a percentage of EquityAvg 
finance,Metrics Return on assets measures how profitable a company is NetIncCmn relative to its total assets AssetsAvg 
finance,Metrics Free Cash Flow is a measure of financial performance calculated as NCFO minus CapEx 
finance,Metrics Return on Invested Capital is ratio estimated by dividing EBIT by InvCapAvg InvCap is calculated as Debt plus Assets minus Intangibles minus CashnEq minus LiabilitiesC Please note this calculation method is subject to change 
finance,Income Statement Aggregate revenue Revenue less cost of revenue CoR directly attributable to the revenue generation activity 
finance,Metrics Gross Margin measures the ratio between a company s GP and Revenue 
finance,Metrics Measures the ratio between a company s NetIncCmn and Revenue 
finance,Metrics Measures the ratio between a company s EBITDA and Revenue 
finance,Metrics The percentage of earnings paid as dividends to common stockholders Calculated by dividing DPS by EPSUSD 
finance,Metrics Measures the ratio between EV and EBITDAUSD 
finance,Metrics Measures the ratio between EV and EBITUSD 
finance,Metrics Measures the ratio between MarketCap and NetIncCmnUSD 
finance,Metrics An alternative to PE representing the ratio between Price and EPSUSD 
finance,Metrics Sales per Share measures the ratio between RevenueUSD and SharesWA as adjusted by ShareFactor 
finance,Metrics Measures the ratio between MarketCap and RevenueUSD 
finance,Metrics Measures the ratio between MarketCap and EquityUSD 
finance,Metrics Measures the ratio between Liabilities and Equity 
finance,Metrics Dividend Yield measures the ratio between a company s DPS and its Price 
finance,Metrics Working capital measures the difference between AssetsC and LiabilitiesC 
finance,Metrics Free Cash Flow per Share is a valuation metric calculated by dividing FCF by SharesWA and ShareFactor 
finance,Metrics Measures the ratio between Equity and SharesWA as adjusted by ShareFactor 
finance,Metrics Measures the ratio between Tangibles and SharesWA as adjusted by ShareFactor 
finance,Entity The Report Period represents the end date of the fiscal period 
finance,The date the form was filed with the SEC 
finance,The name of the security issuer 
finance,The name of the owner 
finance,Is the owner is an officer of the company the officer s title is provided 
finance,Is the owner a Board Director Y es or N o 
finance,Is the owner an officer of the company Y es or N o 
finance,Does the owner hold ten percent or more of the class of security Y es or N o 
finance,The number of shares owned before the transaction 
finance,The number of shares transacted 
finance,The number of shares owned following the transaction 
finance,The transaction price per share 
finance,The value of the transaction 
finance,The title of the class of security 
finance,Is the ownership held D irectly or I ndirectly 
finance,The investor name is a unique identifier for the institutional investor 
finance,The available options to filter the SecurityType field are as follows SHR Common Shares FND Fund Units CLL Call Options PUT Put Options WNT Warrants DBT Debt PRF Preferred Shares UND Unidentified Security Type
finance,The calendar date field represents the last day of the calendar quarter 
finance,The total USD value of the current line item 
finance,The number of units in the current line item 
finance,The imputed price per unit of the current line item 
finance,The name of the issuer 
finance,The number of shareholders 
finance,The number of call holders 
finance,The number of put holders 
finance,The number of warrant holders 
finance,The number of debt holders 
finance,The number of preferred stock holders 
finance,The number of fund holders 
finance,The number of unidentified security type holders 
finance,The total number of share units held 
finance,The total number of call units held 
finance,The total number of put units held 
finance,The total number of warrant units held 
finance,The total number of debt units held 
finance,The total number of preferred stock units held 
finance,The total number of fund units held 
finance,The total number of unidentified security type units held 
finance,The total value of share units held 
finance,The total value of call units held 
finance,The total value of put units held 
finance,The total value of warrant units held 
finance,The total value of debt units held 
finance,The total value of preferred stock units held 
finance,The total value of fund units held 
finance,The total value of unidentified security type units held 
finance,The total value of all security types held 
finance,The percentage that the TotalValue of this line item constitutes of all institutional holdings for this quarter 
finance,The number of distinct share holdings held by the institution 
finance,The number of distinct call holdings held by the institution 
finance,The number of distinct put holdings held by the institution 
finance,The number of distinct warrant holdings held by the institution 
finance,The number of distinct debt holdings held by the institution 
finance,The number of distinct preferred stock holdings held by the institution 
finance,The number of distinct fund holdings held by the institution 
finance,The number of distinct unidentified security types held by the institution 
finance,The trade date of the price observations 
finance,The opening share price adjusted for stock splits and stock dividends 
finance,The high share price adjusted for stock splits and stock dividends 
finance,The low share price adjusted for stock splits and stock dividends 
finance,The open share closing adjusted for stock splits and stock dividends 
finance,The traded volume adjusted for stock splits and stock dividends 
finance,The dividends per share unit adjusted for stock splits and stock dividends Includes spinoffs where identified 
finance,The closing share price not adjusted for stock splits and stock dividends 
finance,The last date at which this line item was updated typically used to filter date to be retrieved for syncing to local records 
finance,The date of the corporate action 
finance,The available actions in this table are acquisitionby acquisitionof bankruptcyliquidation delisted initiated listed mergerfrom mergerto regulatorydelisting spinoff spunofffrom split tickerchangefrom tickerchangeto and voluntarydelisting 
finance,Where the action is acquisitionby acquisitionof mergerfrom mergerto regulatorydelisting voluntarydelisting or bankruptcyliquidation this field represents the final market cap of the acquired merged company or delisted company Where the action is spinoff or spunofffrom this field represents the ratio of shares issued to shareholder s of the former parent company 
finance,Where the action is tickerchangeto this field represents the ticker that has been changed to Where the action is tickerchangefrom this is the ticker that has been changed from Where the action is acquisitionby or mergerto this is the remaining company s ticker Where the action is acquistionof or mergerfrom this is the acquired or merged company s ticker Where the action is spinoff this is the former parent company s ticker Where the action is spunofffrom this is the spunoff company s ticker 
finance,The name of the contra issuer associated with the contra ticker 
finance,The trade date of the price observations used in determining MarketCap PE PS etc 
finance,Measures the ratio between EV and EBITUSD EBITUSD is derived from the most recent SEC form 10 filings 
finance,Measures the ratio between EV and EBITDAUSD EBITDAUSD is derived from the most recent SEC form 10 filings 
finance,Measures the ratio between MarketCap and EquityUSD EquityUSD is sourced from the most recent SEC form 10 filing 
finance,Measures the ratio between MarketCap and NetIncCmnUSD NetIncCmnUSD is sourced from the most recent SEC form 10 filings 
finance,Measures the ratio between MarketCap and RevenueUSD RevenueUSD is sourced from the most recent SEC form 10 filings 
finance,EventCode to Title mapping for EVENTS table 
finance,The date of the form 8 SEC filing 
finance,Each type of event is assigned a 2 digit numeric code which are described in this INDICATORS table where the table field equals EVENTCODES 
finance,The database table which the ticker is featured in Examples are SF1 or SEP 
finance,
finance,The action date 
finance,The available actions in this database are current added and removed 
finance,The contra ticker is the opposing ticker entry It represents the ticker that has been removed where the action added and the ticker that has been added where the action removed 
finance,The name of the contra issuer 
finance,Placeholder for notes and additional information regarding additions to and removals from the S P500 
finance,The database table which the ticker is featured in Examples are SF1 or SEP 
finance,The permaticker is a unique and unchanging identifier for an issuer in the dataset which is issued by Sharadar 
finance,Is the security delisted Y es or N o 
finance,A security identifier Space delimited in the event of multiple identifiers 
finance,The SIC sector is based on the SIC code and the division tabled here 
finance,The SIC industry is based on the SIC code and the industry tabled here 
finance,Not currently active coming in a future update 
finance,Industry classifications based on the SIC code and classifications by Fama and French here 
finance,Sharadar s sector classification based on SIC codes in a format which approximates to GICS 
finance,Sharadar s industry classification based on SIC codes in a format which approximates to GICS 
finance,The company functional reporting currency for the SF1 Fundamentals table or the currency for EOD prices in SEP and SFP 
finance,The company location as registered with the Securities and Exchange Commission 
finance,The date that the ticker was first added to coverage in the dataset 
finance,The date of the first price observation for a given ticker Can be used as a proxy for IPO date Minimum value of 1986 01 01 for IPO s that occurred prior to this date Note this does not necessarily represent the first price date available in our datasets since our end of day price history currently starts in December 1998 
finance,The most recent price observation available 
finance,The first financial quarter available in the dataset 
finance,The last financial quarter available in the dataset 
finance,The URL pointing to the SEC filings which also contains the Central Index Key CIK 
finance,The URL pointing to the company website 
health,Diagnosis specific malignancies available for evaluation included ALL acute myeloid leukaemia AML Hodgkin s disease NHL rhabdomyosarcoma neuroblastoma retinoblastoma OSTEOSARCOMA Wilms tumour RETINOBLASTOMA Ewings sarcoma central nervous system CNS tumours and hepatoblastoma 
health,Acute steady state moderate exercise significantly altered circulating IgE concentrations in volunteers with known ALLERGY while IgE concentrations in NON ALLERGY sufferers did not change 
